[score_all] opt=opt2_loop_interchange level=2 | call=56 | elapsed=7.266 ms (7266 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.383 | cumulative=129.660 ms / 56 calls (avg=2.315 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=57 | elapsed=7.441 ms (7441 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=29.066 | cumulative=137.101 ms / 57 calls (avg=2.405 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=58 | elapsed=7.199 ms (7199 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.121 | cumulative=144.300 ms / 58 calls (avg=2.488 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=59 | elapsed=7.367 ms (7367 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.777 | cumulative=151.667 ms / 59 calls (avg=2.571 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=60 | elapsed=7.469 ms (7469 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=29.176 | cumulative=159.136 ms / 60 calls (avg=2.652 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=61 | elapsed=7.389 ms (7389 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.863 | cumulative=166.525 ms / 61 calls (avg=2.730 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=62 | elapsed=7.245 ms (7245 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.301 | cumulative=173.770 ms / 62 calls (avg=2.803 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=63 | elapsed=7.139 ms (7139 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=27.887 | cumulative=180.909 ms / 63 calls (avg=2.872 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=64 | elapsed=7.221 ms (7221 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.207 | cumulative=188.130 ms / 64 calls (avg=2.940 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=65 | elapsed=7.083 ms (7083 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=27.668 | cumulative=195.213 ms / 65 calls (avg=3.003 ms/call)
