[score_all] LOADED opt=opt6_best level=6 openmp=1
[score_all] opt=opt6_best level=6 | call=35 | elapsed=0.079 ms (79 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=19.750 | cumulative=29.903 ms / 35 calls (avg=0.854 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=36 | elapsed=0.082 ms (82 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.500 | cumulative=29.985 ms / 36 calls (avg=0.833 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=37 | elapsed=0.084 ms (84 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.000 | cumulative=30.069 ms / 37 calls (avg=0.813 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=38 | elapsed=0.081 ms (81 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.250 | cumulative=30.150 ms / 38 calls (avg=0.793 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=39 | elapsed=0.082 ms (82 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.500 | cumulative=30.232 ms / 39 calls (avg=0.775 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=40 | elapsed=0.081 ms (81 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.250 | cumulative=30.313 ms / 40 calls (avg=0.758 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=41 | elapsed=0.080 ms (80 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.000 | cumulative=30.393 ms / 41 calls (avg=0.741 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=42 | elapsed=0.084 ms (84 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.000 | cumulative=30.477 ms / 42 calls (avg=0.726 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=43 | elapsed=0.080 ms (80 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.000 | cumulative=30.557 ms / 43 calls (avg=0.711 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=44 | elapsed=0.160 ms (160 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=40.000 | cumulative=30.717 ms / 44 calls (avg=0.698 ms/call) | path=n4 | openmp=1
