[score_all] LOADED opt=opt9_hybrid_bench level=9 cuda=1 (bench hybrid: n=4 CPU, n<2048 OpenMP, n>=2048 GPU)
[score_all] opt=opt9_hybrid_bench level=9 | call=46 | elapsed=0.121 ms (121 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.250 | cumulative=35.809 ms / 46 calls (avg=0.778 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=47 | elapsed=0.088 ms (88 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=22.000 | cumulative=35.897 ms / 47 calls (avg=0.764 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=48 | elapsed=0.170 ms (170 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=42.500 | cumulative=36.067 ms / 48 calls (avg=0.751 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=49 | elapsed=0.110 ms (110 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=27.500 | cumulative=36.177 ms / 49 calls (avg=0.738 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=50 | elapsed=0.104 ms (104 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=26.000 | cumulative=36.281 ms / 50 calls (avg=0.726 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=51 | elapsed=0.123 ms (123 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=30.750 | cumulative=36.404 ms / 51 calls (avg=0.714 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=52 | elapsed=0.143 ms (143 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=35.750 | cumulative=36.547 ms / 52 calls (avg=0.703 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=53 | elapsed=0.109 ms (109 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=27.250 | cumulative=36.656 ms / 53 calls (avg=0.692 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=54 | elapsed=0.254 ms (254 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=63.500 | cumulative=36.910 ms / 54 calls (avg=0.684 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=55 | elapsed=1.473 ms (1473 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.754 | cumulative=38.383 ms / 55 calls (avg=0.698 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=56 | elapsed=1.330 ms (1330 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.195 | cumulative=39.713 ms / 56 calls (avg=0.709 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=57 | elapsed=1.358 ms (1358 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.305 | cumulative=41.071 ms / 57 calls (avg=0.721 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=58 | elapsed=1.327 ms (1327 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.184 | cumulative=42.398 ms / 58 calls (avg=0.731 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=59 | elapsed=1.328 ms (1328 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.188 | cumulative=43.726 ms / 59 calls (avg=0.741 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=60 | elapsed=2.119 ms (2119 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=8.277 | cumulative=45.845 ms / 60 calls (avg=0.764 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=61 | elapsed=1.995 ms (1995 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=7.793 | cumulative=47.840 ms / 61 calls (avg=0.784 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=62 | elapsed=1.671 ms (1671 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.527 | cumulative=49.511 ms / 62 calls (avg=0.799 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=63 | elapsed=1.554 ms (1554 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.070 | cumulative=51.065 ms / 63 calls (avg=0.811 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=64 | elapsed=1.516 ms (1516 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.922 | cumulative=52.581 ms / 64 calls (avg=0.822 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=65 | elapsed=1.419 ms (1419 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.543 | cumulative=54.000 ms / 65 calls (avg=0.831 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=66 | elapsed=1.501 ms (1501 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.863 | cumulative=55.501 ms / 66 calls (avg=0.841 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=67 | elapsed=1.806 ms (1806 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=7.055 | cumulative=57.307 ms / 67 calls (avg=0.855 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=68 | elapsed=1.970 ms (1970 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=7.695 | cumulative=59.277 ms / 68 calls (avg=0.872 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=69 | elapsed=1.440 ms (1440 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.625 | cumulative=60.717 ms / 69 calls (avg=0.880 ms/call) | path=omp_cand | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=70 | elapsed=0.100 ms (100 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=25.000 | cumulative=60.817 ms / 70 calls (avg=0.869 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=71 | elapsed=0.092 ms (92 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=23.000 | cumulative=60.909 ms / 71 calls (avg=0.858 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=72 | elapsed=0.112 ms (112 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=28.000 | cumulative=61.021 ms / 72 calls (avg=0.848 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=73 | elapsed=0.085 ms (85 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.250 | cumulative=61.106 ms / 73 calls (avg=0.837 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=74 | elapsed=0.086 ms (86 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.500 | cumulative=61.192 ms / 74 calls (avg=0.827 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=75 | elapsed=0.086 ms (86 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.500 | cumulative=61.278 ms / 75 calls (avg=0.817 ms/call) | path=n4 | cuda=1
[score_all] opt=opt9_hybrid_bench level=9 | call=76 | elapsed=0.091 ms (91 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=22.750 | cumulative=61.369 ms / 76 calls (avg=0.807 ms/call) | path=n4 | cuda=1
