[score_all] opt=opt4_branchless level=4 | call=50 | elapsed=0.152 ms (152 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.000 | cumulative=156.142 ms / 50 calls (avg=3.123 ms/call)
[score_all] opt=opt4_branchless level=4 | call=51 | elapsed=0.158 ms (158 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.500 | cumulative=156.300 ms / 51 calls (avg=3.065 ms/call)
[score_all] opt=opt4_branchless level=4 | call=52 | elapsed=0.156 ms (156 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.000 | cumulative=156.456 ms / 52 calls (avg=3.009 ms/call)
[score_all] opt=opt4_branchless level=4 | call=53 | elapsed=0.157 ms (157 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.250 | cumulative=156.613 ms / 53 calls (avg=2.955 ms/call)
[score_all] opt=opt4_branchless level=4 | call=54 | elapsed=0.161 ms (161 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=40.250 | cumulative=156.774 ms / 54 calls (avg=2.903 ms/call)
[score_all] opt=opt4_branchless level=4 | call=55 | elapsed=9.931 ms (9931 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.793 | cumulative=166.705 ms / 55 calls (avg=3.031 ms/call)
[score_all] opt=opt4_branchless level=4 | call=56 | elapsed=9.783 ms (9783 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.215 | cumulative=176.488 ms / 56 calls (avg=3.152 ms/call)
[score_all] opt=opt4_branchless level=4 | call=57 | elapsed=9.874 ms (9874 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.570 | cumulative=186.362 ms / 57 calls (avg=3.270 ms/call)
[score_all] opt=opt4_branchless level=4 | call=58 | elapsed=9.885 ms (9885 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.613 | cumulative=196.247 ms / 58 calls (avg=3.384 ms/call)
[score_all] opt=opt4_branchless level=4 | call=59 | elapsed=9.877 ms (9877 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.582 | cumulative=206.124 ms / 59 calls (avg=3.494 ms/call)
[score_all] opt=opt4_branchless level=4 | call=60 | elapsed=9.873 ms (9873 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.566 | cumulative=215.997 ms / 60 calls (avg=3.600 ms/call)
[score_all] opt=opt4_branchless level=4 | call=61 | elapsed=9.900 ms (9900 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.672 | cumulative=225.897 ms / 61 calls (avg=3.703 ms/call)
[score_all] opt=opt4_branchless level=4 | call=62 | elapsed=9.818 ms (9818 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.352 | cumulative=235.715 ms / 62 calls (avg=3.802 ms/call)
[score_all] opt=opt4_branchless level=4 | call=63 | elapsed=9.846 ms (9846 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.461 | cumulative=245.561 ms / 63 calls (avg=3.898 ms/call)
[score_all] opt=opt4_branchless level=4 | call=64 | elapsed=9.895 ms (9895 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.652 | cumulative=255.456 ms / 64 calls (avg=3.991 ms/call)
[score_all] opt=opt4_branchless level=4 | call=65 | elapsed=9.847 ms (9847 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.465 | cumulative=265.303 ms / 65 calls (avg=4.082 ms/call)
[score_all] opt=opt4_branchless level=4 | call=66 | elapsed=9.861 ms (9861 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.520 | cumulative=275.164 ms / 66 calls (avg=4.169 ms/call)
[score_all] opt=opt4_branchless level=4 | call=67 | elapsed=9.896 ms (9896 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.656 | cumulative=285.060 ms / 67 calls (avg=4.255 ms/call)
[score_all] opt=opt4_branchless level=4 | call=68 | elapsed=9.889 ms (9889 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.629 | cumulative=294.949 ms / 68 calls (avg=4.337 ms/call)
[score_all] opt=opt4_branchless level=4 | call=69 | elapsed=9.852 ms (9852 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.484 | cumulative=304.801 ms / 69 calls (avg=4.417 ms/call)
[score_all] opt=opt4_branchless level=4 | call=70 | elapsed=0.166 ms (166 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=41.500 | cumulative=304.967 ms / 70 calls (avg=4.357 ms/call)
[score_all] opt=opt4_branchless level=4 | call=71 | elapsed=0.164 ms (164 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=41.000 | cumulative=305.131 ms / 71 calls (avg=4.298 ms/call)
[score_all] opt=opt4_branchless level=4 | call=72 | elapsed=0.162 ms (162 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=40.500 | cumulative=305.293 ms / 72 calls (avg=4.240 ms/call)
[score_all] opt=opt4_branchless level=4 | call=73 | elapsed=0.157 ms (157 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.250 | cumulative=305.450 ms / 73 calls (avg=4.184 ms/call)
[score_all] opt=opt4_branchless level=4 | call=74 | elapsed=0.154 ms (154 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.500 | cumulative=305.604 ms / 74 calls (avg=4.130 ms/call)
[score_all] opt=opt4_branchless level=4 | call=75 | elapsed=0.157 ms (157 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.250 | cumulative=305.761 ms / 75 calls (avg=4.077 ms/call)
[score_all] opt=opt4_branchless level=4 | call=76 | elapsed=0.155 ms (155 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.750 | cumulative=305.916 ms / 76 calls (avg=4.025 ms/call)
[score_all] opt=opt4_branchless level=4 | call=77 | elapsed=0.158 ms (158 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.500 | cumulative=306.074 ms / 77 calls (avg=3.975 ms/call)
[score_all] opt=opt4_branchless level=4 | call=78 | elapsed=0.156 ms (156 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.000 | cumulative=306.230 ms / 78 calls (avg=3.926 ms/call)
[score_all] opt=opt4_branchless level=4 | call=79 | elapsed=0.160 ms (160 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=40.000 | cumulative=306.390 ms / 79 calls (avg=3.878 ms/call)
[score_all] opt=opt4_branchless level=4 | call=80 | elapsed=0.161 ms (161 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=40.250 | cumulative=306.551 ms / 80 calls (avg=3.832 ms/call)
[score_all] opt=opt4_branchless level=4 | call=81 | elapsed=0.155 ms (155 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.750 | cumulative=306.706 ms / 81 calls (avg=3.786 ms/call)
[score_all] opt=opt4_branchless level=4 | call=82 | elapsed=0.153 ms (153 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.250 | cumulative=306.859 ms / 82 calls (avg=3.742 ms/call)
[score_all] opt=opt4_branchless level=4 | call=83 | elapsed=0.156 ms (156 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.000 | cumulative=307.015 ms / 83 calls (avg=3.699 ms/call)
[score_all] opt=opt4_branchless level=4 | call=84 | elapsed=0.152 ms (152 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.000 | cumulative=307.167 ms / 84 calls (avg=3.657 ms/call)
[score_all] opt=opt4_branchless level=4 | call=85 | elapsed=0.158 ms (158 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.500 | cumulative=307.325 ms / 85 calls (avg=3.616 ms/call)
[score_all] opt=opt4_branchless level=4 | call=86 | elapsed=0.159 ms (159 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.750 | cumulative=307.484 ms / 86 calls (avg=3.575 ms/call)
[score_all] opt=opt4_branchless level=4 | call=87 | elapsed=0.157 ms (157 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.250 | cumulative=307.641 ms / 87 calls (avg=3.536 ms/call)
[score_all] opt=opt4_branchless level=4 | call=88 | elapsed=0.159 ms (159 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.750 | cumulative=307.800 ms / 88 calls (avg=3.498 ms/call)
[score_all] opt=opt4_branchless level=4 | call=89 | elapsed=0.158 ms (158 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.500 | cumulative=307.958 ms / 89 calls (avg=3.460 ms/call)
[score_all] opt=opt4_branchless level=4 | call=90 | elapsed=0.156 ms (156 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.000 | cumulative=308.114 ms / 90 calls (avg=3.423 ms/call)
[score_all] opt=opt4_branchless level=4 | call=91 | elapsed=0.156 ms (156 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.000 | cumulative=308.270 ms / 91 calls (avg=3.388 ms/call)
[score_all] opt=opt4_branchless level=4 | call=92 | elapsed=0.154 ms (154 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.500 | cumulative=308.424 ms / 92 calls (avg=3.352 ms/call)
[score_all] opt=opt4_branchless level=4 | call=93 | elapsed=0.154 ms (154 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.500 | cumulative=308.578 ms / 93 calls (avg=3.318 ms/call)
[score_all] opt=opt4_branchless level=4 | call=94 | elapsed=0.154 ms (154 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.500 | cumulative=308.732 ms / 94 calls (avg=3.284 ms/call)
[score_all] opt=opt4_branchless level=4 | call=95 | elapsed=0.154 ms (154 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.500 | cumulative=308.886 ms / 95 calls (avg=3.251 ms/call)
[score_all] opt=opt4_branchless level=4 | call=96 | elapsed=0.277 ms (277 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=69.250 | cumulative=309.163 ms / 96 calls (avg=3.220 ms/call)
[score_all] opt=opt4_branchless level=4 | call=97 | elapsed=0.155 ms (155 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.750 | cumulative=309.318 ms / 97 calls (avg=3.189 ms/call)
[score_all] opt=opt4_branchless level=4 | call=98 | elapsed=0.159 ms (159 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.750 | cumulative=309.477 ms / 98 calls (avg=3.158 ms/call)
[score_all] opt=opt4_branchless level=4 | call=99 | elapsed=0.154 ms (154 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.500 | cumulative=309.631 ms / 99 calls (avg=3.128 ms/call)
[score_all] opt=opt4_branchless level=4 | call=100 | elapsed=0.154 ms (154 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.500 | cumulative=309.785 ms / 100 calls (avg=3.098 ms/call)
[score_all] opt=opt4_branchless level=4 | call=101 | elapsed=0.157 ms (157 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.250 | cumulative=309.942 ms / 101 calls (avg=3.069 ms/call)
[score_all] opt=opt4_branchless level=4 | call=102 | elapsed=0.157 ms (157 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.250 | cumulative=310.099 ms / 102 calls (avg=3.040 ms/call)
[score_all] opt=opt4_branchless level=4 | call=103 | elapsed=0.156 ms (156 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.000 | cumulative=310.255 ms / 103 calls (avg=3.012 ms/call)
[score_all] opt=opt4_branchless level=4 | call=104 | elapsed=0.157 ms (157 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.250 | cumulative=310.412 ms / 104 calls (avg=2.985 ms/call)
[score_all] opt=opt4_branchless level=4 | call=105 | elapsed=0.156 ms (156 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.000 | cumulative=310.568 ms / 105 calls (avg=2.958 ms/call)
[score_all] opt=opt4_branchless level=4 | call=106 | elapsed=0.156 ms (156 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.000 | cumulative=310.724 ms / 106 calls (avg=2.931 ms/call)
[score_all] opt=opt4_branchless level=4 | call=107 | elapsed=0.154 ms (154 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.500 | cumulative=310.878 ms / 107 calls (avg=2.905 ms/call)
[score_all] opt=opt4_branchless level=4 | call=108 | elapsed=0.155 ms (155 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.750 | cumulative=311.033 ms / 108 calls (avg=2.880 ms/call)
[score_all] opt=opt4_branchless level=4 | call=109 | elapsed=0.154 ms (154 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=38.500 | cumulative=311.187 ms / 109 calls (avg=2.855 ms/call)
[score_all] opt=opt4_branchless level=4 | call=110 | elapsed=0.160 ms (160 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=40.000 | cumulative=311.347 ms / 110 calls (avg=2.830 ms/call)
[score_all] opt=opt4_branchless level=4 | call=111 | elapsed=0.159 ms (159 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=39.750 | cumulative=311.506 ms / 111 calls (avg=2.806 ms/call)
[score_all] opt=opt4_branchless level=4 | call=112 | elapsed=9.917 ms (9917 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.738 | cumulative=321.423 ms / 112 calls (avg=2.870 ms/call)
[score_all] opt=opt4_branchless level=4 | call=113 | elapsed=9.886 ms (9886 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.617 | cumulative=331.309 ms / 113 calls (avg=2.932 ms/call)
[score_all] opt=opt4_branchless level=4 | call=114 | elapsed=9.884 ms (9884 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.609 | cumulative=341.193 ms / 114 calls (avg=2.993 ms/call)
[score_all] opt=opt4_branchless level=4 | call=115 | elapsed=9.889 ms (9889 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.629 | cumulative=351.082 ms / 115 calls (avg=3.053 ms/call)
[score_all] opt=opt4_branchless level=4 | call=116 | elapsed=9.917 ms (9917 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.738 | cumulative=360.999 ms / 116 calls (avg=3.112 ms/call)
[score_all] opt=opt4_branchless level=4 | call=117 | elapsed=9.897 ms (9897 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.660 | cumulative=370.896 ms / 117 calls (avg=3.170 ms/call)
[score_all] opt=opt4_branchless level=4 | call=118 | elapsed=9.895 ms (9895 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.652 | cumulative=380.791 ms / 118 calls (avg=3.227 ms/call)
[score_all] opt=opt4_branchless level=4 | call=119 | elapsed=9.854 ms (9854 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.492 | cumulative=390.645 ms / 119 calls (avg=3.283 ms/call)
[score_all] opt=opt4_branchless level=4 | call=120 | elapsed=9.888 ms (9888 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=38.625 | cumulative=400.533 ms / 120 calls (avg=3.338 ms/call)
