[score_all] LOADED opt=opt8_cpu_slam level=8 (cpu_slam: n=4 N4, n>=8 OpenMP, no GPU)
[score_all] opt=opt8_cpu_slam level=8 | call=34 | elapsed=0.081 ms (81 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.250 | cumulative=28.042 ms / 34 calls (avg=0.825 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=35 | elapsed=0.083 ms (83 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.750 | cumulative=28.125 ms / 35 calls (avg=0.804 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=36 | elapsed=0.084 ms (84 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.000 | cumulative=28.209 ms / 36 calls (avg=0.784 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=37 | elapsed=0.293 ms (293 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=73.250 | cumulative=28.502 ms / 37 calls (avg=0.770 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=38 | elapsed=0.117 ms (117 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=29.250 | cumulative=28.619 ms / 38 calls (avg=0.753 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=39 | elapsed=0.282 ms (282 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=70.500 | cumulative=28.901 ms / 39 calls (avg=0.741 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=40 | elapsed=0.124 ms (124 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=31.000 | cumulative=29.025 ms / 40 calls (avg=0.726 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=41 | elapsed=0.299 ms (299 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=74.750 | cumulative=29.324 ms / 41 calls (avg=0.715 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=42 | elapsed=0.105 ms (105 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=26.250 | cumulative=29.429 ms / 42 calls (avg=0.701 ms/call) | path=n4 | openmp=1
[score_all] opt=opt8_cpu_slam level=8 | call=43 | elapsed=1.469 ms (1469 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.738 | cumulative=30.898 ms / 43 calls (avg=0.719 ms/call) | path=omp_cand | openmp=1
